îN,åé,ì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé)
2012,1,1,11,8
2012,1,2,5.8,8
2012,1,3,5.7,8
2012,1,4,5.3,8
2012,1,5,5.9,8
2012,1,6,5.9,8
2012,1,7,2.5,8
2012,1,8,6.2,8
2012,1,9,7.8,8
2012,1,10,8.9,8
2012,1,11,6.4,8
2012,1,12,5,8
2012,1,13,7.2,8
2012,1,14,5.8,8
2012,1,15,6.5,8
2012,1,16,5.1,8
2012,1,17,6.5,8
2012,1,18,11,8
2012,1,19,10.4,8
2012,1,20,10.1,8
2012,1,21,9.5,8
2012,1,22,10.4,8
2012,1,23,5.9,8
2012,1,24,4.9,8
2012,1,25,3.5,8
2012,1,26,2.5,8
2012,1,27,3.9,8
2012,1,28,2.8,8
2012,1,29,2.1,8
2012,1,30,3.9,8
2012,1,31,4.4,8
2012,2,1,5,8
2012,2,2,0.8,8
2012,2,3,3.2,8
2012,2,4,4.2,8
2012,2,5,7.6,8
2012,2,6,5.4,8
2012,2,7,6.3,8
2012,2,8,3.1,8
2012,2,9,2.9,8
2012,2,10,4.3,8
2012,2,11,4.9,8
2012,2,12,4.7,8
2012,2,13,5.1,8
2012,2,14,6.2,8
2012,2,15,5.1,8
2012,2,16,6.2,8
2012,2,17,3.4,8
2012,2,18,2,8
2012,2,19,4.7,8
2012,2,20,7.5,8
2012,2,21,9.3,8
2012,2,22,10.8,8
2012,2,23,9.8,8
2012,2,24,9.4,8
2012,2,25,6.9,8
2012,2,26,2.8,8
2012,2,27,3.8,8
2012,2,28,6,8
2012,2,29,12.5,8
2012,3,1,11.3,8
2012,3,2,6.6,8
2012,3,3,10.3,8
2012,3,4,10.8,8
2012,3,5,9.3,8
2012,3,6,15.6,8
2012,3,7,11.1,8
2012,3,8,11.2,8
2012,3,9,9.9,8
2012,3,10,8.7,8
2012,3,11,11.2,8
2012,3,12,6.3,8
2012,3,13,5.3,8
2012,3,14,10.6,8
2012,3,15,9.1,8
2012,3,16,12.6,8
2012,3,17,13.8,8
2012,3,18,11.7,8
2012,3,19,7.2,8
2012,3,20,9.4,8
2012,3,21,9.3,8
2012,3,22,12,8
2012,3,23,7.8,8
2012,3,24,9.9,8
2012,3,25,7.2,8
2012,3,26,8.4,8
2012,3,27,14,8
2012,3,28,12.8,8
2012,3,29,14.6,8
2012,3,30,21.9,8
2012,3,31,17.5,8
2012,4,1,9.1,8
2012,4,2,12.8,8
2012,4,3,21.6,8
2012,4,4,11.4,8
2012,4,5,12.4,8
2012,4,6,9.4,8
2012,4,7,7.9,8
2012,4,8,17.2,8
2012,4,9,18.4,8
2012,4,10,20.8,8
2012,4,11,18.1,8
2012,4,12,16.5,8
2012,4,13,15.4,8
2012,4,14,15.3,8
2012,4,15,15,8
2012,4,16,21.5,8
2012,4,17,13.2,8
2012,4,18,15.3,8
2012,4,19,18,8
2012,4,20,17.4,8
2012,4,21,21.9,8
2012,4,22,19.3,8
2012,4,23,18.3,8
2012,4,24,21.3,8
2012,4,25,23.4,8
2012,4,26,23.2,8
2012,4,27,17.5,8
2012,4,28,24,8
2012,4,29,25.4,8
2012,4,30,23.7,8
2012,5,1,25.7,8
2012,5,2,20.1,8
2012,5,3,20.6,8
2012,5,4,14.4,8
2012,5,5,23.5,8
2012,5,6,20.1,8
2012,5,7,26.4,8
2012,5,8,22.5,8
2012,5,9,21.5,8
2012,5,10,16.2,8
2012,5,11,12.5,8
2012,5,12,14.5,8
2012,5,13,16.8,8
2012,5,14,24.3,8
2012,5,15,20.3,8
2012,5,16,22.2,8
2012,5,17,25.2,8
2012,5,18,18.2,8
2012,5,19,21.9,8
2012,5,20,23.2,8
2012,5,21,23.2,8
2012,5,22,22.1,8
2012,5,23,21.6,8
2012,5,24,24.6,8
2012,5,25,20.6,8
2012,5,26,21.5,8
2012,5,27,25.9,8
2012,5,28,24.4,8
2012,5,29,21.8,5
2012,5,30,19.3,8
2012,5,31,24.3,8
2012,6,1,22.5,8
2012,6,2,23.1,8
2012,6,3,26.4,8
2012,6,4,25.1,8
2012,6,5,28.4,8
2012,6,6,24.9,8
2012,6,7,24.2,8
2012,6,8,28.6,8
2012,6,9,20.2,8
2012,6,10,22.3,8
2012,6,11,24.8,8
2012,6,12,24,8
2012,6,13,26.9,8
2012,6,14,25.6,8
2012,6,15,25.4,8
2012,6,16,29.2,8
2012,6,17,23.5,8
2012,6,18,26.2,8
2012,6,19,21.8,8
2012,6,20,22.8,8
2012,6,21,21.2,8
2012,6,22,21.3,8
2012,6,23,22.3,8
2012,6,24,26.8,8
2012,6,25,24.7,8
2012,6,26,25.5,8
2012,6,27,26.4,8
2012,6,28,27.4,8
2012,6,29,26.9,8
2012,6,30,30.4,8
2012,7,1,27.1,8
2012,7,2,26.5,8
2012,7,3,23.9,8
2012,7,4,28.7,8
2012,7,5,29.1,8
2012,7,6,25.9,8
2012,7,7,24.5,8
2012,7,8,22.7,8
2012,7,9,26.1,8
2012,7,10,29.5,8
2012,7,11,34.3,8
2012,7,12,33.2,8
2012,7,13,27.4,8
2012,7,14,30.8,8
2012,7,15,34.7,8
2012,7,16,36,8
2012,7,17,31.9,8
2012,7,18,34,8
2012,7,19,31.9,8
2012,7,20,31.3,8
2012,7,21,26.9,8
2012,7,22,27.5,8
2012,7,23,30.6,8
2012,7,24,31.9,8
2012,7,25,32.4,8
2012,7,26,32.4,8
2012,7,27,33.3,8
2012,7,28,32.7,8
2012,7,29,32.2,8
2012,7,30,34.6,8
2012,7,31,33.8,8
2012,8,1,32.9,8
2012,8,2,32.8,8
2012,8,3,33.8,8
2012,8,4,32.7,8
2012,8,5,33.4,8
2012,8,6,32.9,8
2012,8,7,31.2,8
2012,8,8,28.8,8
2012,8,9,29.7,8
2012,8,10,31.3,8
2012,8,11,28.7,8
2012,8,12,32.6,8
2012,8,13,34.2,8
2012,8,14,30.1,8
2012,8,15,36,8
2012,8,16,34.2,8
2012,8,17,32.6,8
2012,8,18,33.2,8
2012,8,19,35.8,8
2012,8,20,34,8
2012,8,21,33.3,8
2012,8,22,37.7,8
2012,8,23,33.1,8
2012,8,24,32.6,8
2012,8,25,32.3,8
2012,8,26,32.4,8
2012,8,27,33.3,8
