îN,åé,ì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé)
2001,1,1,5.6,8
2001,1,2,7.6,8
2001,1,3,5.8,8
2001,1,4,4.6,8
2001,1,5,4.3,8
2001,1,6,2.6,8
2001,1,7,2.6,8
2001,1,8,7.3,8
2001,1,9,14.1,8
2001,1,10,11.3,8
2001,1,11,9.2,8
2001,1,12,4.3,8
2001,1,13,3.2,8
2001,1,14,2.6,8
2001,1,15,-0.7,8
2001,1,16,0.1,8
2001,1,17,1.7,8
2001,1,18,4.2,8
2001,1,19,1.3,8
2001,1,20,2.9,8
2001,1,21,6,8
2001,1,22,3.4,8
2001,1,23,2.5,8
2001,1,24,4.5,8
2001,1,25,4.3,8
2001,1,26,5,8
2001,1,27,5.7,8
2001,1,28,5.1,8
2001,1,29,4,8
2001,1,30,2.5,8
2001,1,31,6.6,8
2001,2,1,7.9,8
2001,2,2,4,8
2001,2,3,5.5,8
2001,2,4,6,8
2001,2,5,9.3,8
2001,2,6,8,8
2001,2,7,8.7,8
2001,2,8,7.7,8
2001,2,9,5,8
2001,2,10,4.7,8
2001,2,11,4.6,8
2001,2,12,2.8,8
2001,2,13,5,8
2001,2,14,2.9,8
2001,2,15,4.2,8
2001,2,16,5.3,8
2001,2,17,6.3,8
2001,2,18,11.1,8
2001,2,19,9.8,8
2001,2,20,6.6,8
2001,2,21,16.4,8
2001,2,22,12.2,8
2001,2,23,12.3,8
2001,2,24,6.3,8
2001,2,25,4.7,8
2001,2,26,4.8,8
2001,2,27,10,8
2001,2,28,13.7,8
2001,3,1,7.2,8
2001,3,2,6.2,8
2001,3,3,11.7,8
2001,3,4,12.6,8
2001,3,5,7,8
2001,3,6,12.8,8
2001,3,7,13.4,8
2001,3,8,3.9,8
2001,3,9,3.5,8
2001,3,10,5.6,8
2001,3,11,3.7,8
2001,3,12,6.3,8
2001,3,13,6.6,8
2001,3,14,16.2,8
2001,3,15,16.9,8
2001,3,16,8.1,8
2001,3,17,13.2,8
2001,3,18,12.9,8
2001,3,19,16.5,8
2001,3,20,19.6,8
2001,3,21,16.4,8
2001,3,22,21.2,8
2001,3,23,12.8,8
2001,3,24,17.2,8
2001,3,25,17.6,8
2001,3,26,12,8
2001,3,27,10.4,8
2001,3,28,9.7,8
2001,3,29,9.6,8
2001,3,30,7.4,8
2001,3,31,7.2,8
2001,4,1,10.4,8
2001,4,2,18.9,8
2001,4,3,15,8
2001,4,4,10.9,8
2001,4,5,19.7,8
2001,4,6,14.5,8
2001,4,7,18.4,8
2001,4,8,21.2,8
2001,4,9,21.8,8
2001,4,10,19.5,8
2001,4,11,20.5,8
2001,4,12,15,8
2001,4,13,15.5,8
2001,4,14,20.2,8
2001,4,15,18.2,8
2001,4,16,18.9,4
2001,4,17,21.5,8
2001,4,18,19.6,8
2001,4,19,19.8,8
2001,4,20,12.2,8
2001,4,21,12.2,8
2001,4,22,12.6,8
2001,4,23,20.8,8
2001,4,24,19.7,8
2001,4,25,13.5,8
2001,4,26,14.6,8
2001,4,27,18,8
2001,4,28,21.8,8
2001,4,29,21.3,8
2001,4,30,22.7,8
2001,5,1,16.2,8
2001,5,2,18.2,8
2001,5,3,15.1,8
2001,5,4,14.5,8
2001,5,5,20.6,8
2001,5,6,26.5,8
2001,5,7,27.4,8
2001,5,8,22.3,8
2001,5,9,21.7,8
2001,5,10,19.2,8
2001,5,11,21.1,8
2001,5,12,17.9,8
2001,5,13,23.3,8
2001,5,14,28.3,8
2001,5,15,28.2,8
2001,5,16,22,8
2001,5,17,24.1,8
2001,5,18,29.7,8
2001,5,19,26.3,8
2001,5,20,29.5,8
2001,5,21,27.4,8
2001,5,22,20.5,8
2001,5,23,19.3,8
2001,5,24,19.5,8
2001,5,25,19.3,8
2001,5,26,25.5,8
2001,5,27,22,8
2001,5,28,21.2,8
2001,5,29,26.2,8
2001,5,30,27.1,8
2001,5,31,19.8,8
2001,6,1,24,8
2001,6,2,24.4,8
2001,6,3,27.8,8
2001,6,4,26.1,8
2001,6,5,25.6,8
2001,6,6,21.5,8
2001,6,7,23.6,8
2001,6,8,20.2,8
2001,6,9,24.2,8
2001,6,10,24.8,8
2001,6,11,22.1,8
2001,6,12,21.9,8
2001,6,13,25.9,8
2001,6,14,19.6,8
2001,6,15,18.1,8
2001,6,16,19.6,8
2001,6,17,23.4,8
2001,6,18,27,8
2001,6,19,28.3,8
2001,6,20,22.1,8
2001,6,21,21.5,8
2001,6,22,23.1,8
2001,6,23,22.3,8
2001,6,24,25.3,8
2001,6,25,31.7,8
2001,6,26,30.8,8
